,experiment,plate,formulation_number,di_name,tri_name,tri_count,di_count,adduct,charge,calculated_mz,spectrum_mz,separation_mz,intensity,topology
76,AB-02-005,1,39,Di7,TriE,2,3,Na1,1,993.5308133863,993.53588,994.53837,274400.0,2+3
77,AB-02-005,1,39,Di7,TriE,2,3,K1,1,1009.5047507854,1009.51482,1010.51738,305300.0,2+3
78,AB-02-005,1,40,Di8,TriE,2,3,H1,1,977.5203629459002,977.52416,978.528,390500.0,2+3
79,AB-02-005,1,40,Di8,TriE,2,3,Na1,1,999.5023071949001,999.50699,1000.51111,200300.0,2+3
80,AB-02-005,2,1,Di17,TriG,4,6,H2,2,397.2140697975,397.21566,397.7205,1416000.0,4+6
81,AB-02-005,2,1,Di17,TriG,4,6,H1,1,793.4203145631,793.4233,794.427,4125000.0,4+6
82,AB-02-005,2,1,Di17,TriG,4,6,Na1,1,815.4022588121,815.40695,816.4112,1014000.0,4+6
83,AB-02-005,2,1,Di17,TriG,8,12,H1,1,1585.8328040943,1585.83685,1586.83742,68910.0,8+12
84,AB-02-005,2,2,Di18,TriG,2,3,H1,1,523.3549203717,523.3547,524.35891,3124000.0,2+3
85,AB-02-005,2,8,Di24,TriG,4,6,H2,2,559.3549203717,559.35719,559.85818,2989000.0,4+6
86,AB-02-005,2,8,Di24,TriG,4,6,H1,1,1117.7020157115,1117.70734,1118.7109,3007000.0,4+6
87,AB-02-005,2,8,Di24,TriG,4,6,Na1,1,1139.6839599605,1139.69245,1140.69507,1554000.0,4+6
88,AB-02-005,2,8,Di24,TriG,4,6,K1,1,1155.6578973596002,1155.66032,1156.67662,16910.0,4+6
89,AB-02-005,2,8,Di24,TriG,8,12,H1,1,2234.3962063911003,2234.39811,2235.39935,29680.0,8+12
90,AB-02-005,2,10,Di18,TriH,2,3,H2,2,490.27527308460003,490.27667,490.77838,5571000.0,2+3
91,AB-02-005,2,10,Di18,TriH,2,3,H1,1,979.5427211373001,979.5487,980.55187,13320000.0,2+3
92,AB-02-005,2,10,Di18,TriH,4,6,Na1,1,1980.0595614917002,1980.0596,1981.0676,42010.0,4+6
93,AB-02-005,2,15,Di23,TriH,2,3,H1,1,1015.5427211373001,1015.54683,1016.55012,330900.0,2+3
94,AB-02-005,2,17,Di17,TriI,4,6,H1,1,857.3999745631002,857.40358,858.40578,11720000.0,4+6
95,AB-02-005,2,17,Di17,TriI,4,6,Na1,1,879.3819188121001,879.3848,880.38765,646600.0,4+6
96,AB-02-005,2,18,Di18,TriI,2,3,H2,2,278.1762877018,278.17742,278.67885,9491000.0,2+3
97,AB-02-005,2,18,Di18,TriI,2,3,H1,1,555.3447503717,555.34835,556.35174,25470000.0,2+3
98,AB-02-005,2,18,Di18,TriI,2,3,Na1,1,577.3266946207,577.32893,578.33221,1469000.0,2+3
99,AB-02-005,2,20,Di20,TriI,4,6,H2,2,885.3917005630999,885.39135,885.89567,177000.0,4+6
100,AB-02-005,2,20,Di20,TriI,4,6,H1,1,1769.7755760942998,1769.77339,1770.77746,103800.0,4+6
101,AB-02-005,2,23,Di23,TriI,4,6,H2,2,591.3447503717,591.34854,591.84854,18220000.0,4+6
102,AB-02-005,2,23,Di23,TriI,6,9,H2,2,886.5132130416,886.51607,887.01872,262900.0,6+9
103,AB-02-005,2,23,Di23,TriI,8,12,H2,2,1181.6816757115,1181.68685,1182.18796,622800.0,8+12
104,AB-02-005,2,23,Di23,TriI,6,9,H1,1,1772.0186010513,1772.01827,1773.02389,171300.0,6+9
105,AB-02-005,2,23,Di23,TriI,8,12,H1,1,2362.3555263911003,2362.35395,2363.35646,62720.0,8+12
106,AB-02-005,2,24,Di24,TriI,8,12,Na1,1,2384.3374706401,2384.3356,2385.3378,44930.0,8+12
107,AB-02-005,2,25,Di17,TriJ,4,6,H1,1,1461.7143117115002,1461.7167,1462.71816,162500.0,4+6
108,AB-02-005,2,26,Di18,TriJ,2,3,H2,2,429.25487198890005,429.25803,429.75872,7992000.0,2+3
109,AB-02-005,2,26,Di18,TriJ,2,3,H1,1,857.5019189459001,857.50763,858.50935,19940000.0,2+3
110,AB-02-005,2,26,Di18,TriJ,4,6,H1,1,1713.9960128599002,1714.00107,1715.00634,20380.0,4+6
111,AB-02-005,2,26,Di18,TriJ,4,6,Na1,1,1735.9779571089002,1735.98131,1736.98306,138000.0,4+6
112,AB-02-005,2,31,Di23,TriJ,4,6,H2,2,893.5019189459001,893.50627,893.99059,1703000.0,4+6
113,AB-02-005,2,31,Di23,TriJ,4,6,H1,1,1785.9960128599002,1785.99436,1786.99909,21820.0,4+6
114,AB-02-005,2,32,Di24,TriJ,4,6,H2,2,893.5019189459001,893.50599,894.00641,3443000.0,4+6
115,AB-02-005,2,32,Di24,TriJ,6,9,H2,2,1339.7489659029,1339.7518,1340.25625,33820.0,6+9
116,AB-02-005,2,32,Di24,TriJ,4,6,H1,1,1785.9960128599002,1785.99938,1787.00312,1201000.0,4+6
117,AB-02-005,2,34,Di18,TriK,2,3,H2,2,493.2610199889,493.26351,493.76449,1988000.0,2+3
118,AB-02-005,2,34,Di18,TriK,2,3,H1,1,985.5142149459,985.51981,986.52308,5307000.0,2+3
119,AB-02-005,2,34,Di18,TriK,2,3,Na1,1,1007.4961591949,1007.50561,1008.50459,111100.0,2+3
120,AB-02-005,2,39,Di23,TriK,2,3,H1,1,1021.5142149459,1021.51852,1022.52098,48100.0,2+3
121,AB-02-005,2,40,Di24,TriK,4,6,H2,2,1021.5142149459,1021.51814,1022.01973,426100.0,4+6
122,AB-02-005,2,40,Di24,TriK,4,6,H1,1,2042.0206048599,2042.01882,2043.02144,70540.0,4+6
123,AB-02-005,2,42,Di18,TriL,2,3,H2,2,562.2752730846,562.27748,562.77876,2151000.0,2+3
124,AB-02-005,2,42,Di18,TriL,2,3,H1,1,1123.5427211373,1123.54786,1124.55141,2894000.0,2+3
125,AB-02-005,2,47,Di23,TriL,2,3,H1,1,1159.5427211373,1159.54919,1160.55206,252500.0,2+3
126,AB-02-005,2,48,Di24,TriL,2,3,H2,2,580.2752730846,580.27771,580.78309,61770.0,2+3
127,AB-02-005,2,48,Di24,TriL,2,3,H1,1,1159.5427211373,1159.54866,1160.5521,359400.0,2+3
128,AB-02-005,2,48,Di24,TriL,4,6,H2,2,1159.5427211373,1159.54866,1160.05004,359400.0,4+6
129,AB-02-005,3,11,Di11,TriB,2,3,H2,2,475.2610199889,475.26286,475.76402,4425000.0,2+3
130,AB-02-005,3,11,Di11,TriB,2,3,H1,1,949.5142149459,949.51917,950.52255,8680000.0,2+3
131,AB-02-005,3,11,Di11,TriB,2,3,Na1,1,971.4961591949,971.5022,972.5053,723800.0,2+3
132,AB-02-005,3,11,Di11,TriB,2,3,K1,1,987.470096594,987.47906,988.48009,112800.0,2+3
133,AB-02-005,3,11,Di11,TriB,4,6,H1,1,1898.0206048599,1898.02162,1899.02598,73450.0,4+6
134,AB-02-005,3,12,Di12,TriB,2,3,H1,1,949.5896713287,949.59486,950.5978,5857000.0,2+3
135,AB-02-005,3,15,Di15,TriB,2,3,H2,2,580.306968276,580.31038,580.81147,1720000.0,2+3
136,AB-02-005,3,15,Di15,TriB,2,3,Na2,2,602.288912525,602.29315,602.79475,217200.0,2+3
137,AB-02-005,3,15,Di15,TriB,2,3,H1,1,1159.6061115201,1159.61289,1160.61601,4867000.0,2+3
138,AB-02-005,3,15,Di15,TriB,2,3,Na1,1,1181.5880557691,1181.59579,1182.59752,478900.0,2+3
139,AB-02-005,3,16,Di16,TriB,4,6,H2,2,1183.7939122857001,1183.80082,1184.30033,736300.0,4+6
140,AB-02-005,3,16,Di16,TriB,4,6,H1,1,2366.5799995395005,2366.58604,2367.58899,775100.0,4+6
141,AB-02-005,3,18,Di10,TriC,2,3,H1,1,587.3610683717,587.36285,588.36326,260400.0,2+3
142,AB-02-005,3,19,Di11,TriC,2,3,H2,2,414.2406188932,414.24269,414.74412,9553000.0,2+3
